chunk,path,gap_after,script_text,whisper_text,whisper_sim,el_text,el_sim,el_whisper_sim,chars,expected_len,raw_len,trimmed_len,speech_len,len_status,speech_ratio,longest_gap,silence_padded,repeat,inflation,dup_ratio,status,reason,pacing_status,max_gap,awkward_gaps,rushed_spans,word_gaps
00,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-000-narration.wav,narration,"The message was short, and not the way she wrote when something could wait.","The message was short, and not the way she wrote when something could wait.",1.0,,,,75,4.69,3.96,3.96,3.17,OK,0.7997,0.4,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
01,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-001-narration.wav,narration,"She needed him on a call, if the link held. She had a notice. It was bad.",She needed him on a call if the link held. She had a notice. It was bad.,1.0,,,,73,4.56,6.04,6.04,3.79,OK,0.627,0.81,False,False,1.0,0.0,OK,,OK,0.63,0,0,0
03,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-003-narration.wav,narration,He pulled the cracked shop screen around on its arm and propped the phone into …,He pulled the cracked shop screen around on its arm and propped the phone into …,1.0,,,,109,6.81,5.32,5.32,5.32,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
06,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-006-lena.wav,lena,Can you hear me.,Can you hear me?,1.0,,,,16,1.0,1.28,1.28,0.97,OK,0.7578,0.31,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
07,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-007-eli.wav,eli,Most of it.,Most of it.,1.0,,,,11,0.69,1.08,1.08,0.68,OK,0.6306,0.4,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
08,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-008-lena.wav,lena,I'm going to read you something.,I'm going to read you something.,1.0,,,,32,2.0,1.96,1.96,1.96,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
09,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-009-narration.wav,narration,"Under the thin voice was the quiet she got when she was angriest, the quiet oth…","Under the thin voice was the quiet she got when she was angriest, the quiet oth…",1.0,,,,106,6.62,6.68,6.68,5.77,OK,0.864,0.54,False,False,1.0,0.0,OK,,OK,0.04,0,0,0
10,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-010-lena.wav,lena,Came an hour ago. Formal notice. From the manufacturer. Three systems. The diag…,"came an hour ago. Formal notice from the manufacturer, three systems, the diagn…",1.0,,,,216,13.5,12.84,12.84,11.04,OK,0.8597,0.49,False,False,1.0,0.0,OK,,OK,0.32,0,0,0
11,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-011-narration.wav,narration,Eli closed his eyes a second.,Eli closed his eyes a second.,1.0,,,,29,1.81,1.96,1.96,1.63,OK,0.832,0.33,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
12,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-012-eli.wav,eli,Read me the wording.,Read me the wording.,1.0,,,,20,1.25,1.32,1.32,1.32,OK,1.0,0.0,False,False,1.0,0.0,OK,,FLAG,0.0,0,1,0
13,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-013-lena.wav,lena,"Following a review of supported-region status, remote authentication for the li…","Following a review of supported region status, remote authentication for the li…",0.9818,,,,195,12.19,10.96,10.96,10.3,OK,0.9399,0.66,False,False,0.964,0.0,OK,,OK,0.02,0,0,0
14,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-014-narration.wav,narration,"The same flat thank-you as the doorbell and the dairy case, applied now to a sc…",The same flat thank you as the doorbell and the dairy case applied now to a sca…,1.0,,,,277,17.31,14.8,14.8,13.55,OK,0.9155,0.47,False,False,1.0,0.0,OK,,OK,0.14,0,0,0
15,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-015-eli.wav,eli,All right.,All right.,1.0,,,,10,0.62,0.68,0.68,0.68,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
16,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-016-narration.wav,narration,"He reached for the bench, for the steadiness of it, because working a problem t…","He reached for the bench, for the steadiness of it, because working a problem t…",1.0,,,,145,9.06,7.76,7.76,7.37,OK,0.9503,0.39,False,False,1.0,0.0,OK,,OK,0.14,0,0,0
17,audio/live-audio-book/book-1/chapter-01-no-signal/scene-04-midnight/voice/stem-017-eli.wav,eli,"Tell me what stops. Physically. At midnight, when the authentication goes.",It's only what stops. Physically. At midnight when the authentication goes.,0.7826,Tell me what stops physically at midnight when the authentication goes.,1.0,0.7826,74,4.62,5.08,5.08,3.17,OK,0.6243,0.83,False,False,1.091,0.273,OK,"whisper artifact, confirmed by elevenlabs",OK,0.0,0,0,0
