chunk,path,gap_after,script_text,whisper_text,whisper_sim,el_text,el_sim,el_whisper_sim,chars,expected_len,raw_len,trimmed_len,speech_len,len_status,speech_ratio,longest_gap,silence_padded,repeat,inflation,dup_ratio,status,reason,pacing_status,max_gap,awkward_gaps,rushed_spans,word_gaps
00,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-000-narration.wav,narration,By eleven the shop's bench was full.,"By 11, the shop's bench was full.",1.0,,,,36,2.25,2.56,2.56,2.14,OK,0.8354,0.42,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
02,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-002-narration.wav,narration,"It started as it always started, one after another, the door letting in a threa…","It started as it always started, one after another, the door letting in a threa…",1.0,,,,294,18.38,17.08,17.08,14.78,OK,0.8651,1.42,False,False,1.0,0.0,OK,,FLAG,1.4,0,1,0
03,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-003-narration.wav,narration,"The button worked. The chime worked. The little board worked, lit and patient, …","The button worked. The chime worked. The little board worked, lit, and patient,…",0.9589,,,,195,12.19,12.12,12.12,9.85,OK,0.8126,1.13,False,False,1.028,0.056,OK,,OK,0.94,0,0,0
04,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-004-narration.wav,narration,"The server did not answer. It had not answered, by the firmware log, since a Th…","The server did not answer. It had not answered, by the firmware log, since a Th…",1.0,,,,160,10.0,9.64,9.64,8.52,OK,0.8843,0.81,False,False,1.0,0.0,OK,,OK,0.52,0,0,0
05,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-005-eli.wav,eli,It's fine. That's the problem. It just wants to ask a company that doesn't exis…,It's fine. That's the problem. It just wants to ask a company that doesn't exis…,1.0,,,,118,7.38,6.04,6.04,4.42,SHORT,0.7317,0.6,False,False,1.0,0.0,RETRY,speech too short for its text (real drop),OK,0.0,0,0,0
06,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-006-mason.wav,mason,So can you fix it.,So can you fix it?,1.0,,,,18,1.12,1.12,1.12,1.12,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
07,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-007-eli.wav,eli,I can make it forget it ever had a company.,"I can make it, forget it. Ever had a company?",1.0,,,,43,2.69,3.36,3.36,2.17,OK,0.647,1.19,False,False,1.0,0.0,OK,,FLAG,0.95,0,1,0
08,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-008-narration.wav,narration,"He pulled the board and began the work he had done a thousand times, less repai…","He pulled the board and began the work he had done a thousand times, less repai…",1.0,,,,155,9.69,9.16,9.16,7.67,OK,0.8372,0.58,False,False,1.0,0.0,OK,,FLAG,0.59,0,1,0
09,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-009-eli.wav,eli,"It won't do half what it used to. No app, no chimes you pick, no telling you wh…","It won't do half what it used to. No app, no chimes you pick, no telling you wh…",1.0,,,,171,10.69,10.52,10.52,7.94,OK,0.7551,1.01,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
10,audio/live-audio-book/book-1/chapter-01-no-signal/scene-03-the-same-failure-at-every-door/voice/stem-010-mason.wav,mason,That's what we want.,That's what we want.,1.0,,,,20,1.25,1.08,1.08,1.08,OK,1.0,0.0,False,False,1.0,0.0,OK,,FLAG,0.0,0,1,0
