chunk,path,gap_after,script_text,whisper_text,whisper_sim,el_text,el_sim,el_whisper_sim,chars,expected_len,raw_len,trimmed_len,speech_len,len_status,speech_ratio,longest_gap,silence_padded,repeat,inflation,dup_ratio,status,reason,pacing_status,max_gap,awkward_gaps,rushed_spans,word_gaps
00,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-000-narration.wav,narration,From the steps the street gave nothing away. That was the first thing wrong wit…,from the steps the street gave nothing away that was the first thing wrong with…,1.0,,,,84,5.25,4.6,4.6,3.93,OK,0.8549,0.67,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
01,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-001-narration.wav,narration,He let his eyes slide over it and kept them moving. He came down into an ordina…,He let his eyes slide over it and kept them moving. He came down into an ordina…,1.0,,,,433,27.06,25.36,25.36,21.18,OK,0.8352,0.79,False,False,1.0,0.0,OK,,OK,0.72,0,0,0
02,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-002-narration.wav,narration,You had to know where to look.,You had to know where to look.,1.0,,,,30,1.88,1.76,1.76,1.76,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
04,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-004-narration.wav,narration,"A clutch of kids went past at the corner, backpacks and loud morning voices, he…","A clutch of kids went past at the corner, backpacks and loud mourning voices, h…",0.977,,,,479,29.94,26.1,26.1,22.34,OK,0.8558,0.97,False,False,1.0,0.023,OK,,FLAG,0.84,0,2,0
05,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-005-narration.wav,narration,"He kept walking, and a tally ran under everything else, the kind he never had t…","He kept walking, and a tally ran under everything else, the kind he never had t…",0.9902,,,,524,32.75,30.3,30.3,25.93,OK,0.8558,1.04,False,False,1.02,0.02,OK,,OK,0.71,0,0,0
06,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-006-narration.wav,narration,"The grocery was open, the good warm yellow of a place that wanted you to come i…","The grocery was open, the good warm yellow of a place that wanted you to come i…",1.0,,,,314,19.62,17.32,17.32,15.3,OK,0.8834,0.6,False,False,1.0,0.0,OK,,OK,0.7,0,0,0
07,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-007-narration.wav,narration,The dairy case along the back wall was dark. Not all of it. The first two doors…,the dairy case along the back wall was dark not all of it the first two doors h…,0.9855,,,,350,21.88,20.04,20.04,17.81,OK,0.8889,0.66,False,False,1.0,0.014,OK,,OK,0.0,0,0,0
08,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-008-narration.wav,narration,She followed his eyes.,She followed his eyes.,1.0,,,,22,1.38,1.36,1.36,1.36,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
09,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-009-marisol.wav,marisol,Long case quit Tuesday.,Long case quit. Tuesday.,1.0,,,,23,1.44,3.2,3.2,1.93,OK,0.6032,1.27,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
10,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-010-marisol.wav,marisol,Nolan came and looked. It's not the compressor. It's the controller. Wants to c…,Nolan came and looked. It's not the compressor. It is the controller. Wants to …,0.9524,,,,107,6.69,6.8,6.8,5.42,OK,0.7978,0.53,False,False,1.0,0.048,OK,,OK,0.26,0,0,0
11,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-011-narration.wav,narration,She rang up his coffee.,She rang up his coffee.,1.0,,,,23,1.44,1.48,1.48,1.48,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
12,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-012-marisol.wav,marisol,"You want milk, take it today. I don't know how long the last two doors hold.",You want milk? Take it today. I don't know how long the last two doors hold.,1.0,,,,76,4.75,5.64,5.64,3.6,OK,0.6383,1.15,False,False,1.0,0.0,OK,,OK,0.93,0,0,0
13,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-013-eli.wav,eli,I'll take it.,I'll take it.,1.0,,,,13,0.81,1.32,1.32,0.62,OK,0.467,0.7,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
14,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-014-narration.wav,narration,"He paid her in the soft worn bills that still moved hand to hand for coffee, an…",he paid her in the soft-worn bills that still moved hand to hand for coffee and…,1.0,,,,92,5.75,5.04,5.04,4.62,OK,0.9162,0.42,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
15,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-015-eli_thought.wav,eli_thought,Controller wants to call home and nobody's home.,Controller wants to call home and nobody's home.,1.0,,,,48,3.0,2.68,2.68,2.3,OK,0.8575,0.38,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
16,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-016-narration.wav,narration,"and filed it, and did not yet lay it beside the notice. They were two things. H…",and filed it and did not yet lay it beside the notice. They were two things. He…,1.0,,,,102,6.38,5.84,5.84,5.45,OK,0.9335,0.39,False,False,1.0,0.0,OK,,OK,0.26,0,0,0
17,audio/live-audio-book/book-1/chapter-01-no-signal/scene-02-the-almost-normal-street/voice/stem-017-marisol.wav,marisol,Everything in your house wants permission now.,Everything in your house wants permission now.,1.0,,,,46,2.88,2.76,2.76,2.0,OK,0.724,0.43,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
