chunk,path,gap_after,script_text,whisper_text,whisper_sim,el_text,el_sim,el_whisper_sim,chars,expected_len,raw_len,trimmed_len,speech_len,len_status,speech_ratio,longest_gap,silence_padded,repeat,inflation,dup_ratio,status,reason,pacing_status,max_gap,awkward_gaps,rushed_spans,word_gaps
00,audio/live-audio-book/book-1/chapter-01-no-signal/scene-01-no-signal/voice/stem-000-narration.wav,narration,"The phone woke before he did. It was the habit of years, not the alarm.","The phone woke before he did. It was the habit of years, not the alarm.",1.0,,,,71,4.44,4.56,4.56,4.13,OK,0.9051,0.43,False,False,1.0,0.0,OK,,OK,0.22,0,0,0
01,audio/live-audio-book/book-1/chapter-01-no-signal/scene-01-no-signal/voice/stem-001-narration.wav,narration,"Eli's thumb found the glass while the rest of him was still under sleep, and th…","Eli's thumb found the glass while the rest of him was still under sleep, and th…",1.0,,,,442,27.62,26.08,26.08,20.72,OK,0.7945,0.98,False,False,1.0,0.0,OK,,FLAG,0.72,0,2,0
02,audio/live-audio-book/book-1/chapter-01-no-signal/scene-01-no-signal/voice/stem-002-narration.wav,narration,He lay still a moment and looked at it. The floor was cold when he put his feet…,He lay still a moment and looked at it. The floor was cold when he put his feet…,1.0,,,,228,14.25,13.76,13.76,11.18,OK,0.8127,0.84,False,False,1.0,0.0,OK,,OK,0.5,0,0,0
03,audio/live-audio-book/book-1/chapter-01-no-signal/scene-01-no-signal/voice/stem-003-narration.wav,narration,"He thumbed the network off and on, then carried the phone to the window and hel…","He thumbed the network off and on, then carried the phone to the window and hel…",1.0,,,,206,12.88,10.84,10.84,9.59,OK,0.8845,0.95,False,False,1.0,0.0,OK,,OK,0.77,0,0,0
04,audio/live-audio-book/book-1/chapter-01-no-signal/scene-01-no-signal/voice/stem-004-narration.wav,narration,He had lived through enough of these mornings to take it like a tool that faile…,He had lived through enough of these mornings to take it like a tool that faile…,1.0,,,,327,20.44,17.8,17.8,15.51,OK,0.8711,0.74,False,False,1.0,0.0,OK,,FLAG,0.42,0,1,0
05,audio/live-audio-book/book-1/chapter-01-no-signal/scene-01-no-signal/voice/stem-005-narration.wav,narration,"The local board had collected the night's messages over the mesh, all short, al…","The local board had collected the night's messages over the mesh, all short, al…",1.0,,,,105,6.56,5.6,5.6,5.6,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
06,audio/live-audio-book/book-1/chapter-01-no-signal/scene-01-no-signal/voice/stem-006-dorsey.wav,dorsey,Anybody got signal out. Nothing on mine since maybe two. Dorsey.,Anybody got signal out? Nothing on mine since maybe two. Dorsey.,1.0,,,,64,4.0,4.42,4.42,3.36,OK,0.761,0.64,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
07,audio/live-audio-book/book-1/chapter-01-no-signal/scene-01-no-signal/voice/stem-007-narration.wav,narration,Towers off again. Hub still good. The library.,Towers off again. Hubs still good. The library.,0.875,,,,46,2.88,3.6,3.6,3.6,OK,1.0,0.0,False,False,1.0,0.125,OK,,OK,0.24,0,0,0
08,audio/live-audio-book/book-1/chapter-01-no-signal/scene-01-no-signal/voice/stem-008-narration.wav,narration,So it was not only him.,"So it was not only him,",1.0,,,,23,1.44,1.64,1.64,1.64,OK,1.0,0.0,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
09,audio/live-audio-book/book-1/chapter-01-no-signal/scene-01-no-signal/voice/stem-009-eli.wav,eli,Same here. Looking.,Same here. Looking.,1.0,,,,19,1.19,1.86,1.86,1.08,OK,0.5795,0.78,False,False,1.0,0.0,OK,,OK,0.0,0,0,0
